Id,Name,Scope,Budget,AI Notes / Markdown,Referrer / Link URL,Referrer / Link Label,Referrer / Secondary Links,Status,Phone / Primary Phone Number,Phone / Primary Phone Country Code,Phone / Primary Phone Calling Code,Phone / Additional Phones,Mail / Primary Email,Mail / Additional Emails,Domain Name / Link URL,Domain Name / Link Label,Domain Name / Secondary Links,Creation date,Created by / Source,Created by / Workspace Member,Created by / Name,Created by / Context,Address / Country
,Falk Berberich Consulting,VIDEOSCHNITT,2.900 EUR brutto/Monat (Einstiegsgehalt),"Fakt: Falk Berberich Consulting schreibt aktuell die Position „Videoeditor / Cutter - Vollzeit (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,17655700504,DE,+49,[],info@falkberberich.com,[],https://www.falkberberich.com,,[],,MANUAL,,,{},DE
,Baulig Consulting GmbH,VIDEOSCHNITT,,"Fakt: Baulig Consulting GmbH schreibt aktuell die Position „Video Editor/-in - Vollzeit (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,1737458514,DE,+49,[],kontakt@andreasbaulig.de,[],https://www.andreasbaulig.de,,[],,MANUAL,,,{},DE
,Continu-ING GmbH,VIDEOSCHNITT,4.000 EUR brutto/Monat,"Fakt: Continu-ING GmbH schreibt aktuell die Position „Videoeditor (auch Quereinstieg) (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,657195593100,DE,+49,[],kontakt@continu-ing.com,[],https://www.continu-ing.com,,[],,MANUAL,,,{},DE
,adbaker GmbH,VIDEOSCHNITT,,"Fakt: adbaker GmbH schreibt aktuell die Position „Video Editor - all genders“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,22199983680,DE,+49,[],mail@adbaker.de,[],https://www.adbaker.de,,[],,MANUAL,,,{},DE
,Boost Media GmbH,VIDEOSCHNITT,,"Fakt: Boost Media GmbH schreibt aktuell die Position „Videograph / Video Editor (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,615162938122,DE,+49,[],info@videoboost.de,[],https://www.videoboost.de,,[],,MANUAL,,,{},DE
,Uplift Marketing GmbH,VIDEOSCHNITT,,"Fakt: Uplift Marketing GmbH schreibt aktuell die Position „Video Editor Social Ads (m/w/d) 32-40 Std.“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,,,,[],info@uplift-marketing.eu,[],https://uplift-marketing.eu,,[],,MANUAL,,,{},DE
,Holzhey-Consulting GmbH,VIDEOSCHNITT,,"Fakt: Holzhey-Consulting GmbH schreibt aktuell die Position „Videograph & Video-Editor (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,15154166349,DE,+49,[],hallo@katjaholzhey.com,[],https://www.katjaholzhey.com,,[],,MANUAL,,,{},DE
,everydays GmbH,VIDEOSCHNITT,,"Fakt: everydays GmbH schreibt aktuell die Position „Video Editor / AI Creative Cutter (m/w/d) - Video Ads für Meta & Co“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,,,,[],service@everydays.de,[],https://www.everydays.de,,[],,MANUAL,,,{},DE
,Uhl Werbeagentur GmbH,VIDEOSCHNITT,,"Fakt: Uhl Werbeagentur GmbH schreibt aktuell die Position „Video Editor (m/w/d) - Teilzeit“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,82138043,DE,+49,[],info@uhl-werbeagentur.de,[],https://uhl-werbeagentur.de,,[],,MANUAL,,,{},DE
,G-IN GmbH,VIDEOSCHNITT,,"Fakt: G-IN GmbH schreibt aktuell die Position „Video-Editor / Motion Designer (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,,,,[],office@g-in.de,[],https://g-in-gmbh.de,,[],,MANUAL,,,{},DE
,Cheggl GmbH,VIDEOSCHNITT,,"Fakt: Cheggl GmbH schreibt aktuell die Position „Video Editor:in“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,40334684480,DE,+49,[],hallo@cheggl.com,[],https://www.cheggl.com,,[],,MANUAL,,,{},DE
,DartSturm GmbH,VIDEOSCHNITT,,"Fakt: DartSturm GmbH schreibt aktuell die Position „(Junior) Video Content Creator / Social Media (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,92829324822,DE,+49,[],kundenservice@dartsturm.de,[],https://dartsturm.de,,[],,MANUAL,,,{},DE
,Saykos GmbH,VIDEOSCHNITT,,"Fakt: Saykos GmbH schreibt aktuell die Position „Foto- & Video-Content Creator (m/w/d) – Beauty- & Friseurbranche“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,25689099020,DE,+49,[],info@saykos.de,[],https://saykos.de,,[],,MANUAL,,,{},DE
,Gauder GmbH,VIDEOSCHNITT,,"Fakt: Gauder GmbH schreibt aktuell die Position „Video Content Creator & Brand Personality Social Media (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,38548930970,DE,+49,[],hallo@gauder.net,[],https://gauder.net,,[],,MANUAL,,,{},DE
,O.C. Hairsystems GmbH,VIDEOSCHNITT,,"Fakt: O.C. Hairsystems GmbH schreibt aktuell die Position „Videographer & Social Content Creator (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,21122975318,DE,+49,[],kontakt@oc-hairsystems.com,[],https://oc-hairsystems.ch,,[],,MANUAL,,,{},DE
,BRABUS GmbH,VIDEOSCHNITT,,"Fakt: BRABUS GmbH schreibt aktuell die Position „Videograph / Cinematograph - Serien & Dokumentationen (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,20417770,DE,+49,[],,[],https://www.brabus.com,,[],,MANUAL,,,{},DE
,planetlan GmbH,VIDEOSCHNITT,,"Fakt: planetlan GmbH schreibt aktuell die Position „Mediengestalter Bild & Ton / Videograf – mit FPV-Skills (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,2327369420,DE,+49,[],,[],https://planetlan.de,,[],,MANUAL,,,{},DE
,Pending System GmbH & Co. KG,VIDEOSCHNITT,,"Fakt: Pending System GmbH & Co. KG schreibt aktuell die Position „Video Producer (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,923197007845,DE,+49,[],,[],https://www.cube.eu,,[],,MANUAL,,,{},DE
,J.L.B. Gaststättenbetrieb GmbH,VIDEOSCHNITT,,"Fakt: J.L.B. Gaststättenbetrieb GmbH schreibt aktuell die Position „Video Producer (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,,,,[],impressum@landhaus-walter.de,[],https://landhaus-walter.de,,[],,MANUAL,,,{},DE
,Ordio GmbH,VIDEOSCHNITT,,"Fakt: Ordio GmbH schreibt aktuell die Position „Creative Video Producer (m/f/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,,,,[],hallo@ordio.com,[],https://www.ordio.com,,[],,MANUAL,,,{},DE
,ABH24 GmbH & Co. KG,VIDEOSCHNITT,,"Fakt: ABH24 GmbH & Co. KG schreibt aktuell die Position „Videograf / Creative Video Producer (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,52199997580,DE,+49,[],info@abh24.com,[],https://www.abh24.com,,[],,MANUAL,,,{},DE
,BEWEGT.content GmbH,VIDEOSCHNITT,30.000–40.000 EUR/Jahr,"Fakt: BEWEGT.content GmbH schreibt aktuell die Position „Video Producer / Editor – Foto, Film & KI (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,82199959062,DE,+49,[],,[],https://www.bewegt-content.com,,[],,MANUAL,,,{},DE
,Scalecom GmbH,VIDEOSCHNITT,,"Fakt: Scalecom GmbH schreibt aktuell die Position „Videograf & Cutter für Social Media Ads (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,15773730402,DE,+49,[],info@scalecom.de,[],https://www.scalecom.de,,[],,MANUAL,,,{},DE
,Fitklusiv GmbH,VIDEOSCHNITT,,"Fakt: Fitklusiv GmbH schreibt aktuell die Position „Content Creator / Videograf (Festanstellung)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,21168788299,DE,+49,[],kontakt@fitklusiv.de,[],https://fitklusiv.de,,[],,MANUAL,,,{},DE
,CMF Advertising GmbH,VIDEOSCHNITT,,"Fakt: CMF Advertising GmbH schreibt aktuell die Position „Junior Videographer & Motion Designer (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,617188780,DE,+49,[],frankfurt@cmf.de,[],https://www.cmf.de,,[],,MANUAL,,,{},DE
,IMAGETOWN GmbH,VIDEOSCHNITT,,"Fakt: IMAGETOWN GmbH schreibt aktuell die Position „Immobilienfoto/videografIn“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,30233285540,DE,+49,[],hello@imagetown.de,[],https://imagetown.de,,[],,MANUAL,,,{},DE
,DMV Deutsche Mittelstandsversorgung GmbH,VIDEOSCHNITT,,"Fakt: DMV Deutsche Mittelstandsversorgung GmbH schreibt aktuell die Position „Foto- & Videograph/in Vollzeit“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,87197309220,DE,+49,[],kontakt@betriebsrente.de,[],https://dmv-karriere.de,,[],,MANUAL,,,{},DE
,the social. Academy GmbH,VIDEOSCHNITT,ab 3.000 EUR brutto/Monat,"Fakt: the social. Academy GmbH schreibt aktuell die Position „Video Editor Vollzeit“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://social-academy.at/karriere/,,[],OFFEN,6603733587,AT,+43,[],info@social-academy.at,[],https://social-academy.at,,[],,MANUAL,,,{},AT
,Quantum-Systems GmbH,VIDEOSCHNITT,,"Fakt: Quantum-Systems GmbH schreibt aktuell die Position „Videoeditor / Cutter (m/f/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://quantum-systems.com/career/,,[],OFFEN,81057709100,DE,+49,[],info@quantum-systems.com,[],https://quantum-systems.com,,[],,MANUAL,,,{},DE
,fonio GmbH,VIDEOSCHNITT,55.000–80.000 EUR brutto/Jahr,"Fakt: fonio GmbH schreibt aktuell die Position „Video Cutter / Post-Production“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://jobs.ashbyhq.com/fonio,,[],OFFEN,,,,[],info@fonio.ai,[],https://fonio.info,,[],,MANUAL,,,{},AT
,Heritsch Media GmbH,VIDEOSCHNITT,,"Fakt: Heritsch Media GmbH schreibt aktuell die Position „Video Cutter & Editor“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,,,,[],impressum@heritsch-media.at,[],https://www.heritsch-media.at,,[],,MANUAL,,,{},AT
,Universität Wien,VIDEOSCHNITT,,"Fakt: Universität Wien schreibt aktuell die Position „Mitarbeiter*in Video Content Production – freier Dienstvertrag“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,1427737012,AT,+43,[],,[],https://www.univie.ac.at,,[],,MANUAL,,,{},AT
,BlackWood GmbH,VIDEOSCHNITT,"3.000 EUR brutto/Monat (Einstiegsgehalt, 40 Std.)","Fakt: BlackWood GmbH schreibt aktuell die Position „Videograph (m/w/d)“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/video-producer,,[],OFFEN,6606251710,AT,+43,[],mail@oscarkarem.com,[],https://www.oscarkarem.com,,[],,MANUAL,,,{},AT
,ZOOOM Productions GmbH,VIDEOSCHNITT,,"Fakt: ZOOOM Productions GmbH schreibt aktuell die Position „Videographer, Editor & Content Creator“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.zooom.com/en_eu/agency/offices/zooom-fuschl-am-see,,[],OFFEN,622688480,AT,+43,[],europe@zooom.com,[],https://www.zooom.com,,[],,MANUAL,,,{},AT
,NinetoSix GmbH,VIDEOSCHNITT,,"Fakt: NinetoSix GmbH schreibt aktuell die Position „Video Editor:in“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,91138466016,DE,+49,[],info@ninetosix.de,[],https://www.ninetosix.de,,[],,MANUAL,,,{},DE
,Osteopathie Praxis Benkmann,VIDEOSCHNITT,,"Fakt: Osteopathie Praxis Benkmann schreibt aktuell die Position „Mediengestalter:in / Video Content Creator (YouTube) Konzept, Dreh & Schnitt“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,4064850258,DE,+49,[],info@osteopathie-benkmann.com,[],https://osteopathie-benkmann.com,,[],,MANUAL,,,{},DE
,twentythree GmbH,VIDEOSCHNITT,1.446–1.807 EUR/Monat (Teilzeit),"Fakt: twentythree GmbH schreibt aktuell die Position „Video Content Creator (m/w/d) Social Media“ aus und signalisiert damit konkreten Bedarf an laufender Video-Postproduktion. Ansatz: Als externer Editing-Partner lassen sich Kapazitätsspitzen abfangen, Durchlaufzeiten verkürzen und wiederkehrende Formate mit einem verlässlichen, skalierbaren Workflow unterstützen.",https://www.stepstone.de/jobs/videoeditor,,[],OFFEN,71190755917,DE,+49,[],team@twentythree.de,[],https://twentythree.de,,[],,MANUAL,,,{},DE
